lat,lon,unit_name,lithology,age,period_bottom,period_top,description,color,map_id,source_id
34.75,-85.8,Bangor Limestone,"Major:{limestone}, Minor:{mudstone}",Mississippian,Mississippian,Mississippian,"Medium-gray bioclastic and oolitic limestone, containing interbeds of dusky-red and olive-green mudstone in upper part.",#B5BE6B,2960158,133
34.75,-85.72,Pottsville Formation,"Major:{sandstone,conglomerate}, Minor:{shale,siltstone,coal}",Pennsylvanian,Pennsylvanian,Carboniferous,"Light-gray thin to thick-bedded quartzose sandstone and conglomerate containing interbedded dark-gray shale, siltstone, and coal.  Mapped on Lookout Mountain, Blount and Chandler Mountains, and Sand Mountain northeats of Blount County, and on the mountains of Jackson, Marshall and Madison Counties north and west of the TN river.",#9FC4B7,3003221,133
34.75,-85.64,Pottsville Formation,"Major:{sandstone,conglomerate}, Minor:{shale,siltstone,coal}",Pennsylvanian,Pennsylvanian,Carboniferous,"Light-gray thin to thick-bedded quartzose sandstone and conglomerate containing interbedded dark-gray shale, siltstone, and coal.  Mapped on Lookout Mountain, Blount and Chandler Mountains, and Sand Mountain northeats of Blount County, and on the mountains of Jackson, Marshall and Madison Counties north and west of the TN river.",#9FC4B7,3003221,133
34.75,-85.56,Mississippian undifferentiated,"Major:{limestone}, Minor:{shale,sandstone}",Mississippian,Mississippian,Mississippian,"Includes Pennington Shale, Bangor Limestone (except in Floyd County), Hartselle Sandstone, Golconda Formation, Gasper Limestone, Ste. Genevieve Limestone and St. Louis Limestone",#678F66,2985582,133
34.75,-85.48,Bashkirian sedimentary,"sandstone,shale,coal",Morrowan,Morrowan,Atokan,,#9FC4B7,968127,7
34.75,-85.4,Mississippian sedimentary,sedimentary,Mississippian,Mississippian,Mississippian,,#678F66,962742,7
34.75,-85.32,Fort Payne Chert,Major:{chert},Mississippian,Mississippian,Mississippian,Fort Payne Chert (Mfp) with Lavender Shale Member (Mls),#A0B76C,2964012,133
34.75,-85.24,Paleozoic sedimentary rocks,sedimentary rocks,Paleozoic,Paleozoic,Paleozoic,,#99C08D,3187973,154
34.75,-85.16,Silurian-Devonian sedimentary,sedimentary,Silurian,Silurian,Devonian,,#BFB777,970382,7
34.75,-85.08,Paleozoic sedimentary rocks,sedimentary rocks,Paleozoic,Paleozoic,Paleozoic,,#99C08D,3187973,154
34.75,-85.0,Paleozoic sedimentary rocks,sedimentary rocks,Paleozoic,Paleozoic,Paleozoic,,#99C08D,3187973,154
34.83,-85.8,Serpukhovian sedimentary,sedimentary,Serpukhovian,Serpukhovian,Serpukhovian,,#BFC26B,972114,7
